codigo_sucursal,nombre_sucursal,No_telefono,horario_atencion,e_mail,direccion
1501,chevrolet pensiones,9991633362,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",flotillas.cpensiones@grupodc.com.mx,"calle 60 no. 498, entre calles 57 y 59, centro, merida, yucatan, mexico"
1502,chevrolet gruver boca del rio,2291611591,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",scarlett.adame@gruver.mx,"avenida independencia no. 123, entre calles 6 y 8, centro, veracruz, mexico"
1503,chevrolet cruces de tabasco,9933112026,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",gerencia012@grupocruces.com.mx,"calle juarez No. 100, entre avenida 5 de mayo y 7 de mayo, centro, villahermosa, tabasco, mexico"
1504,chevrolet solana hermosillo,3311179008,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",jaime.gonzalez@carsol.mx,"bulevar juarez no. 200, entre calle 1 y 3, centro, hermosillo, sonora, mexico"
1505,chevrolet super autos hermosillo,6622400335,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",jromero@superautospremier.com.mx,"avenida soto no. 150, entre calle matamoros y allende, col. pino suárez, nogales, sonora, mexico"
1506,chevrolet culiacan motors,6688613650,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",gflotillas814@grupofelix.com.mx,"bulevar juarez no. 300, entre calle alamos y rodriguez, centro, culiacan, sinaloa, mexico"
1507,chevrolet premier culiacan,6679960114,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",acervantes@grupo-premier.com.mx,"avenida del mar no. 250, entre calle hidalgo y morelos, zona dorada, mazatlan, sinaloa, mexico"
1508,chevrolet gm motriz,4441851265,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",armandogomez@gmmotriz.com.mx,"calle juarez no. 400, entre avenida venustiano carranza y francisco i. madero, centro, san luis potosi, san luis potosi, mexico"
1509,chevrolet cancun,9981479977,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",pcervantes@grupodicas.com.mx,avenida dr salvador nava martinez no 1580 constitucion san luis potosi
1510,chevrolet ss de queretaro,4424790600,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",srpalomares@chevroletss.com.mx,blvd bernardo quintana s/n col centro sur queretaro qro 76090
1511,chevrolet peregrina angelópolis,2481710578,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",bdc.ventas@peregrinalujo.com,calle 3 poniente numero 120 colonia centro puebla pue 72000
1512,chevrolet montoto puebla,2221235796,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",f.romero@glb.mx,avenida jose maria morelos y pavon numero colonia 34 nazareno puebla pue 72530
1513,chevrolet peregrina puebla,2225051289,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",gerencia.fleet@gaperegrina.com.mx,calzada zavaleta numero 342 colonia santa cruz los angeles puebla pue 72450
1514,chevrolet balderrama puebla,2227651739,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",mjunco@chevroletbalderrama.com,boulevard heroes del 5 de mayo numero 2100 colonia unidad alta vista puebla pue 72478
1515,chevrolet car one universidad,8110703689,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",acantu@carone.com.mx,avenida universidad numero 123 colonia administracion monterrey nuevo leon 64460
1516,chevrolet del rio,8182542212,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",jsalinas@chevroletdelrio.com.mx,calle insurgentes poniente 456 colonia del valle san pedro garza garcia nuevo leon 66220
1517,chevrolet rivero linda vista,8180881281,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",lmartinez@gruporivero.com,boulevard antonio l. rodriquez sin numero colonia obispado monterrey nuevo leon 64000
1518,chevrolet la silla,8123502606,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",heriberto.jalomo@surman.com,avenida lazaro cardenas no 789 colonia cumbres monterrey nuevo leon 64610
1519,chevrolet cuernavaca,5517286477,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",ventas@chevroletcuernavaca.com.mx,paseo del conquistador numero 228 colonia maravillas cuernavaca morelos 62230
1520,chevrolet la piedad,4621537011,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",gmfleetservices@automotrizdelcentro.com,calzada juan alvarez numero 55 colonia jardines morelia michoacan 58080
1521,chevrolet fame morelia,4432732815,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",gventas@famemorelia.com,avenida francisco i. madero sin numero colonia centro laguilla michoacan 59890
1522,chevrolet flosol puerto vallarta,3221116169,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",epineda@autosflova.com,avenida independencia numero 345 colonia centro guadalajara jalisco 44100
1523,chevrolet autonova,3338469575,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",elena.meza@autonova.com.mx,callejon dolores guadalajara numero 12 colonia americana jalisco 44160
1524,chevrolet milenio motors,3318929638,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",norma.rodriguez@chevroletmilenio.com,carretera chapala kilometro 7 sin numero colonia el cielo puerto vallarta jalisco 48333
1525,chevrolet naosa,3328333622,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",galopez@naosa.com.mx,boulevard benito juarez numero 210 colonia republica zapopan jalisco 45160
1526,chevrolet solana motors,3311179008,"lunes a viernes: 9:00 a 20:00, sábados: 8:00 a 16:00, domingos: 11:00 a 16:00",jaime.gonzalez@carsol.mx,avenida universidad numero 122 colonia universidad guadalajara jalisco 44430
